Order ID,Upload Your Product Image,Product Description,Conversation,flag,username,timestamp
1234,D:\Team4\FinalProject\flagged\Upload Your Product Image\a73a5f4d8638e409fd016630fa41e1f5e778a9d4\tmp6j1lc1pn.jpg,"The outer packaging is torn/open at the top, exposing the noodles directly.",No reference image found for Order ID: 1234,,,2025-12-28 15:18:53.743847
1234,D:\Team4\FinalProject\flagged\Upload Your Product Image\5f5764c574fa471f85cb8a84903d02fa196dd020\tmp9t03i357.jpg,"The outer packaging is torn/open at the top, exposing the noodles directly.",No reference image found for Order ID: 1234,,,2025-12-28 15:18:56.948893
